dept,courseNumber,courseType,numberOfMeetings,meetingLengthHours,isTba,numberEnrolled,cantOverlap,shouldntOverlap,dataNumber,timeMinPweek
BIOE,BIOE 70Q,ISS,2,1.5,FALSE,17,,,263,160
BIOE,BIOE 72N,ISF,1,3,FALSE,6,,,264,170
BIOE,BIOE 80,LEC,3,1,FALSE,93,,,265,150
BIOE,BIOE 103,LEC,2,1.5,FALSE,50,,,266,160
BIOE,BIOE 103,LEC,1,1,FALSE,50,266,,267,50
BIOE,BIOE 131,LEC,2,1.5,FALSE,210,,,268,160
BIOE,BIOE 193,,1,1.5,FALSE,0,,,269,80
BIOE,BIOE 199A,SEM,1,1,FALSE,12,,,270,50
BIOE,BIOE 201C,LEC,1,2,FALSE,7,,,271,110
CHEMENG,CHEMENG 120B,LEC,3,1.5,FALSE,14,,,272,240
CHEMENG,CHEMENG 130A,LEC,2,1.5,FALSE,23,,,273,160
CHEMENG,CHEMENG 160,LEC,3,1,FALSE,8,,,274,150
CHEMENG,CHEMENG 170,LEC,2,1.5,FALSE,29,,,275,160
CHEMENG,CHEMENG 180,LEC,2,1.5,FALSE,18,,,276,160
CHEMENG,CHEMENG 193,SEM,1,1.5,FALSE,3,,,277,80
CME,CME 100,LEC,2,2,FALSE,103,,,278,1660
CME,CME 100A,LEC,2,2,FALSE,26,278,,279,220
CME,CME 102,LEC,2,2,FALSE,48,,,280,220
CME,CME 102A,LEC,2,2,FALSE,11,280,,281,220
CME,CME 104,LEC,2,2,FALSE,19,,,282,220
CME,CME 104A,LEC,2,2,FALSE,5,282,,283,220
CME,CME 107,LEC,2,1.5,FALSE,2,,,284,160
CME,CME 193,WKS,2,1.5,FALSE,98,,,285,160
CME,CME 195,WKS,2,1.5,FALSE,17,,,286,160
CME,CME 197,WKS,2,1.5,FALSE,6,,,287,160
CEE,CEE 6,LEC,2,1.5,FALSE,26,,,288,160
CEE,CEE 32Q,ISS,1,2,FALSE,8,,,289,110
CEE,CEE 102W,PRA,2,1.5,FALSE,2,,,290,160
CEE,CEE 107A,LEC,3,1.5,FALSE,37,,,291,240
CEE,CEE 114,LEC,2,1.5,FALSE,9,,,292,160
CEE,CEE 122B,,1,1,FALSE,0,,,293,50
CEE,CEE 122B,,1,3,FALSE,0,293,,294,170
CEE,CEE 126Z,SEM,1,1,FALSE,13,,,295,50
CEE,CEE 131D,PRA,2,3,FALSE,5,,,296,340
CEE,CEE 137B,LEC,2,3,FALSE,4,,,297,340
CEE,CEE 141C,SEM,1,2,FALSE,1,,,298,110
CEE,CEE 157,SEM,1,1.5,FALSE,20,,,299,80
CEE,CEE 162E,LEC,3,1.5,FALSE,3,,,300,240
CEE,CEE 165H,LEC,2,1.5,FALSE,2,,,301,160
CEE,CEE 172,LEC,3,1,FALSE,29,,,302,150
CEE,CEE 176B,LEC,2,1.5,FALSE,48,,,303,160
CEE,CEE 177Q,LEC,2,2,FALSE,1,,,304,220
CEE,CEE 177S,SEM,2,1.5,FALSE,4,,,305,160
CEE,CEE 180,LEC,2,2,FALSE,9,,,306,220
CEE,CEE 183,LEC,2,3,FALSE,7,,,307,340
CEE,CEE 192,LAB,2,1.5,FALSE,1,,,308,160
EE,EE 65,LEC,3,1,FALSE,43,,,309,150
EE,EE 101B,LEC,3,1,FALSE,30,,,310,150
EE,EE 102B,LEC,3,1.5,FALSE,27,310,,311,240
EE,EE 104,LEC,2,1.5,FALSE,24,,,312,160
EE,EE 109,LEC,3,1,FALSE,6,,,313,150
EE,EE 142,LEC,2,1.5,FALSE,17,,,314,160
EE,EE 178,LEC,2,1.5,FALSE,29,,,315,160
EE,EE 180,LEC,2,1.5,FALSE,68,,,316,160
EE,EE 185,,1,1.5,FALSE,0,,,317,80
EE,EE 267W,LEC,2,1.5,FALSE,5,,,318,160
CS,CS 52,LEC,2,2,FALSE,14,,,319,220
CS,CS 81SI,ACT,1,1.5,FALSE,17,,,320,80
CS,CS 82SI,ACT,1,1.5,FALSE,9,320,,321,80
CS,CS 102,LEC,2,1.5,FALSE,137,,,322,160
CS,CS 103,LEC,3,1.5,FALSE,475,,,323,240
CS,CS 105,LEC,3,1,FALSE,79,,322,324,150
CS,CS 106A,LEC,3,1,FALSE,666,,,325,80
CS,CS 106B,LEC,3,1,FALSE,575,,327,326,80
CS,CS 106E,LEC,3,1,FALSE,114,,,327,150
CS,CS 106L,LAB,2,1.5,FALSE,47,327,,328,50
CS,CS 106S,LAB,1,2,FALSE,10,327,,329,50
CS,CS 107,LEC,2,2,FALSE,401,,,330,50
CS,CS 107A,LAB,1,3,FALSE,35,330,,331,50
CS,CS 107E,LEC,2,1.5,FALSE,19,330,,332,50
CS,CS 109,LEC,3,1.5,FALSE,362,,,333,50
CS,CS 110,LEC,3,1,FALSE,456,,,334,50
CS,CS 110,LEC,3,1,FALSE,23,334,,335,50
CS,CS 110L,LAB,2,1,FALSE,23,334;335,,336,50
CS,CS 140,LEC,3,1,FALSE,116,,,337,50
CS,CS 142,LEC,3,1,FALSE,192,,,338,50
CS,CS 143,LEC,2,1.5,FALSE,137,,,339,50
CS,CS 151,LEC,2,1.5,FALSE,47,,,340,50
CS,CS 155,LEC,2,1.5,FALSE,182,,,341,50
CS,CS 155,,1,1,FALSE,0,341,,342,50
CS,CS 166,LEC,2,1.5,FALSE,56,,,343,50
CS,CS 168,LEC,2,1.5,FALSE,305,,343,344,50
CS,CS 181,LEC,2,1.5,FALSE,20,,,345,50
CS,CS 181W,LEC,2,1.5,FALSE,93,345,,346,50
CS,CS 184,LEC,1,1.5,FALSE,19,,,347,50
CS,CS 193P,LEC,2,1.5,FALSE,29,,,348,50
CS,CS 193X,LEC,2,1.5,FALSE,67,,,349,50
CS,CS 194,LEC,2,1.5,FALSE,18,,,350,50
CS,CS 194A,LAB,1,1.5,FALSE,29,350,,351,50
CS,CS 194W,LEC,2,1.5,FALSE,39,350,,352,50
CS,CS 198,LEC,1,2,FALSE,2,,,353,50
CS,CS 230,LEC,1,1.5,FALSE,261,,,354,50
CS,CS 278,LEC,2,1,FALSE,193,,,355,50
ENGR,ENGR 14,LEC,2,1.5,FALSE,98,,,356,50
ENGR,ENGR 15,LEC,2,1.5,FALSE,87,,356,357,50
ENGR,ENGR 21,LEC,2,1.5,FALSE,53,,,358,50
ENGR,ENGR 40M,LEC,3,1.5,FALSE,202,,,359,50
ENGR,ENGR 50,LEC,3,1.25,FALSE,42,,,360,50
ENGR,ENGR 62,LEC,2,1.5,FALSE,5,,,361,50
ENGR,ENGR 62,DIS,1,1.5,FALSE,3,361,,362,50
ENGR,ENGR 80,LEC,3,1,FALSE,34,,,363,50
ENGR,ENGR 102W,PRA,2,1.5,FALSE,9,,,364,50
ENGR,ENGR 103,PRA,1,2.5,FALSE,12,,,365,50
ENGR,ENGR 103,PRA,1,2.5,FALSE,6,,,366,50
ENGR,ENGR 103,PRA,1,2.5,FALSE,5,,,367,50
ENGR,ENGR 103,PRA,1,2.5,FALSE,3,,,368,50
ENGR,ENGR 103,PRA,1,2.5,FALSE,2,,,369,50
ENGR,ENGR 105,LEC,2,1.5,FALSE,50,,,370,50
ENGR,ENGR 140A,SEM,2,2,FALSE,12,,,371,50
ENGR,ENGR 145,LEC,2,1.5,FALSE,52,,,372,50
ENGR,ENGR 154,LEC,2,2,FALSE,1,,,373,50
ENGR,ENGR 155A,,2,2,FALSE,0,,,374,50
ENGR,ENGR 155B,LEC,2,2,FALSE,4,,374,375,50
ENGR,ENGR 177B,SEM,2,1.5,FALSE,3,,,376,50
ENGR,ENGR 193,SEM,1,1.5,FALSE,4,,,377,50
MS&E,CHEM 134,,1,4,FALSE,0,,,378,50
MS&E,CHEM 134,,1,4,FALSE,0,,,379,50
MS&E,CHEM 134,,1,4,FALSE,0,,,380,50
MS&E,CHEM 134,,1,4,FALSE,0,380,,381,50
MS&E,ENGR 140A,SEM,2,2,FALSE,12,,,382,50
MS&E,MS&E 93Q,ISS,1,3,FALSE,12,,,383,50
MS&E,MS&E 111,LEC,2,1.5,FALSE,116,,,384,50
MS&E,MS&E 111,DIS,1,1.5,FALSE,86,384,,385,50
MS&E,MS&E 121,LEC,2,2,FALSE,63,,,386,50
