dept,courseNumber,courseType,numberOfMeetings,meetingLengthHours,isTba,numberEnrolled,cantOverlap,shouldntOverlap,dataNumber
CS,CS 140,LEC,3,1,False,116,,,489
CS,CS 140,,1,1,False,0,489,,490
CS,CS 140,,1,1,False,0,489,,491
CS,CS 142,LEC,3,1,False,192,,,492
CS,CS 142,,1,1,False,0,492,,493
CS,CS 142,,1,1,False,0,492,,494
CS,CS 142,,1,1,False,0,492,,495
CS,CS 143,LEC,2,1.5,False,137,,,496
CS,CS 151,LEC,2,1.5,False,47,,,497
CS,CS 155,LEC,2,1.5,False,182,,,498
CS,CS 155,,1,1,False,0,498,,499
CS,CS 166,LEC,2,1.5,False,56,,,500
CS,CS 168,LEC,2,1.5,False,305,,500,501
CS,CS 181,LEC,2,1.5,False,20,,,502
CS,CS 181,,1,1,False,0,502,,503
CS,CS 181,,1,1,False,0,502,,504
CS,CS 181,,1,1,False,0,502,,505
CS,CS 181,,1,1.5,False,0,502,,506
CS,CS 181,,1,1,False,0,502,,507
CS,CS 181,,1,1,False,0,502,,508
CS,CS 181,,1,1,False,0,502,,509
CS,CS 181W,LEC,2,1.5,False,93,502,,510
CS,CS 184,LEC,1,1.5,False,19,,,511
CS,CS 193P,LEC,2,1.5,False,29,,,512
CS,CS 193X,LEC,2,1.5,False,67,,,513
CS,CS 194,LEC,2,1.5,False,18,,,514
CS,CS 194A,LAB,1,1.5,False,29,514,,515
CS,CS 194W,LEC,2,1.5,False,39,514,,516
CS,CS 198,LEC,1,2,False,2,,,517
CS,CS 198,,1,2,False,0,517,,518
CS,CS 198,,1,2,False,0,517,,519
CS,CS 198,,1,2,False,0,517,,520
CS,CS 230,LEC,1,1.5,False,261,,,521
CS,CS 230,,1,1.5,False,0,521,,522
CS,CS 230,,1,1.5,False,0,521,,523
CS,CS 230,,1,1.5,False,0,521,,524
CS,CS 230,,1,1.5,False,0,521,,525
CS,CS 230,,1,1.5,False,0,521,,526
CS,CS 230,,1,1.5,False,0,521,,527
CS,CS 230,,1,1.5,False,0,521,,528
CS,CS 230,,1,1.5,False,0,521,,529
CS,CS 278,LEC,2,1,False,193,,,530
ENGR,ENGR 14,LEC,2,1.5,False,98,,,531
ENGR,ENGR 15,LEC,2,1.5,False,87,,531,532
ENGR,ENGR 21,LEC,2,1.5,False,53,,,533
ENGR,ENGR 40M,LEC,3,1.5,False,202,,,534
ENGR,ENGR 50,LEC,3,1.25,False,42,,,535
ENGR,ENGR 62,LEC,2,1.5,False,5,,,536
